ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,roi,p/e,beta,electricity,Diesel ,Business Travel,Carbon Footprint
dis,Walt Disney Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/ef50b4a2b263c847211b567a01edb702cae8b9ef46ca1f6856ca4432a70e9f52.png,https://thewaltdisneycompany.com/,A,High,BB,Medium,BB,Medium,510,316,321,1147,19-04-2022,BBB,High,1744489,0.634841398,12.25542973,-0.059248088,15284.54087,610.3290698,4066.186296,4.262533066
gm,General Motors Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Automobiles,https://static.finnhub.io/logo/9253db78-80c9-11ea-920d-00000000092a.png,https://www.gm.com/,A,High,BB,Medium,B,Medium,510,303,255,1068,17-04-2022,BBB,High,1467858,1.34660068,7.068386701,2.141751983,5930.265112,1045.598416,5166.203291,6.850226566
gww,WW Grainger Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Trading Companies and Distributors,https://static.finnhub.io/logo/f153dcda-80eb-11ea-bc2e-00000000092a.png,https://www.grainger.com/,B,Medium,BB,Medium,B,Medium,255,385,240,880,19-04-2022,BB,Medium,277135,0.851487099,13.76937892,1.694488258,17418.66576,861.1977016,8167.499813,6.593638301
mhk,Mohawk Industries Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/26868a62-80ec-11ea-9712-00000000092a.png,https://mohawkind.com/,A,High,B,Medium,BB,Medium,570,298,303,1171,18-04-2022,BBB,High,851968,1.098340124,28.42490203,2.502381502,9867.651376,1008.311383,7329.65595,7.173534091
lyv,Live Nation Entertainment Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,https://static.finnhub.io/logo/1cd144d2-80ec-11ea-b50a-00000000092a.png,https://www.livenationentertainment.com/,BBB,High,BB,Medium,B,Medium,492,310,250,1052,18-04-2022,BBB,High,1335258,0.896883049,14.17823733,-0.903803141,16583.18385,1126.911548,4063.142132,7.031983191
lvs,Las Vegas Sands Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Hotels Restaurants and Leisure,https://static.finnhub.io/logo/7256a9be-8279-11ea-874d-00000000092a.png,https://www.sands.com/,A,High,BB,Medium,BB,Medium,547,318,313,1178,18-04-2022,BBB,High,1300514,0.394610568,29.00842455,1.606747272,14898.92591,512.7518179,4112.549884,3.750260642
clx,Clorox Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Consumer products,https://static.finnhub.io/logo/a67c34fe-80eb-11ea-a87f-00000000092a.png,https://www.thecloroxcompany.com/,A,High,BB,Medium,BB,Medium,560,350,345,1255,16-04-2022,A,High,21076,0.348156246,24.12676408,2.444296861,24932.52869,914.9072214,4845.652856,6.091791921
aacg,ATA Creativity Global,CNY,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AACG.svg,http://www.ata.net.cn,B,Medium,B,Medium,B,Medium,203,200,205,608,01-07-2022,B,Medium,1420529,0.971095535,23.3538389,2.108928263,17692.27031,584.1262513,9871.746612,5.517828164
aal,American Airlines Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAL.png,https://americanairlines.gcs-web.com/,B,Medium,B,Medium,B,Medium,270,211,265,746,16-04-2022,B,Medium,6201,0.126955981,27.03181306,2.9660043,19616.42379,1057.332823,8075.577549,7.625058968
aame,Atlantic American Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/6b536b3e-826a-11ea-bc66-00000000092a.png,http://www.atlam.com/,B,Medium,B,Medium,BB,Medium,220,221,300,741,16-04-2022,B,Medium,8177,0.243036621,28.61829609,1.630937823,11581.78809,944.7164973,7081.493207,6.774820583
aaoi,Applied Optoelectronics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/7afdb95a-80ce-11ea-849c-00000000092a.png,http://ao-inc.com/,BB,Medium,B,Medium,B,Medium,311,256,218,785,16-04-2022,BB,Medium,1158114,0.636172054,8.047643028,1.768220227,20261.369,699.292301,4703.094359,4.897210749
aaon,Aaon Inc,USD,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/8819421c-80df-11ea-80b9-00000000092a.png,https://www.aaon.com/,A,High,BB,Medium,B,Medium,500,300,223,1023,16-04-2022,BBB,High,824142,0.298420421,9.266485765,-0.49466177,22634.59647,1193.779622,4285.59274,7.449835626
aapl,Apple Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/87cb30d8-80df-11ea-8951-00000000092a.png,https://www.apple.com/,BB,Medium,B,Medium,B,Medium,355,281,255,891,16-04-2022,BB,Medium,320193,1.246962481,8.36477423,-0.926703429,13633.82097,997.1600993,9065.29919,7.534083759
aatc,Autoscope Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,,,BBB,High,B,Medium,B,Medium,410,286,240,936,11-06-2022,BBB,High,943034,0.071038009,14.02204407,0.407255045,6502.860199,560.6426876,6224.021553,4.505312838
aaww,Atlas Air Worldwide Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/8b74bf8a-80df-11ea-8463-00000000092a.png,https://www.atlasairworldwide.com/,A,High,B,Medium,B,Medium,520,243,237,1000,16-04-2022,BBB,High,1135185,0.405827742,14.69674628,2.784038866,13859.19446,1046.604558,4464.884472,6.695231898
aaci,Armada Acquisition Corp I,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,B,Medium,205,200,200,605,20-06-2022,B,Medium,1844817,1.383104547,7.025451892,-0.302229042,18216.04568,661.1207046,3998.585129,4.521483454
aadi,Aadi Bioscience Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/358b0921e9d761a529cffa812e99b140f4bb9c2e1e63bfeee3a4ea7165257e7b.png,https://aadibio.com/,B,Medium,B,Medium,B,Medium,200,201,203,604,11-06-2022,B,Medium,1422142,1.08862513,23.62340951,-0.55127424,15015.99805,982.6767356,5835.565259,6.682698963
abeo,Abeona Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/33b2a5a8-80d1-11ea-8de8-00000000092a.png,https://abeonatherapeutics.com/,B,Medium,BB,Medium,BB,Medium,205,306,310,821,16-04-2022,BB,Medium,318306,1.487287707,17.94024285,2.288156909,17196.98806,1151.948815,3546.095558,7.042705572
abnb,Airbnb Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABNB.png,https://www.airbnb.co.in/,A,High,A,High,BBB,High,505,570,400,1475,10-06-2022,A,High,1559720,1.144917817,26.19009518,1.337197136,14944.4116,918.5241861,4408.663112,5.996313196
abio,ARCA Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/52ec4c2e0c249a506cbce41ef284e287901cccb0a08db285aa9a9d4091ba8434.png,http://arcabio.com/,B,Medium,B,Medium,B,Medium,200,222,290,712,16-04-2022,B,Medium,907654,1.269507856,15.34165677,2.845199581,12255.38419,530.3327028,6929.549997,4.51793067
abmd,ABIOMED Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/8b2cc7cc-80df-11ea-b8c7-00000000092a.png,https://www.abiomed.com/,A,High,BB,Medium,BB,Medium,500,324,305,1129,16-04-2022,BBB,High,815094,0.183731216,16.4218942,-0.923436829,8516.982081,1088.476643,5482.953447,7.158660616
abos,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f1081a3d8031ad222b050bbbcfef7a073cea50638ad028f1fd31c5ca934f3820.png,https://acumenpharm.com/,B,Medium,B,Medium,B,Medium,205,201,200,606,11-06-2022,B,Medium,1576885,1.488092064,19.8599305,0.388042925,12302.90001,903.743093,8324.604954,6.854271067
absi,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/d030f309b5a348085ba6297eadf507c1d7410dbf605e6147f34eec997f6f073f.png,https://www.absci.com/,B,Medium,B,Medium,B,Medium,205,224,230,659,11-06-2022,B,Medium,1672688,1.312724819,17.52103603,2.430110311,5362.248852,603.0450437,9437.899497,5.502779562
abtx,Allegiance Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/b34c7c52-80d2-11ea-8e19-00000000092a.png,https://ir.allegiancebank.com/,B,Medium,BB,Medium,BB,Medium,298,300,300,898,16-04-2022,BB,Medium,1642081,0.673659757,8.988276712,2.82648872,9780.080091,620.0808088,4545.688573,4.424378472
abus,Arbutus Biopharma Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/0068df02-80ca-11ea-abb6-00000000092a.png,https://www.arbutusbio.com/,B,Medium,B,Medium,BB,Medium,203,204,338,745,16-04-2022,B,Medium,1447028,0.104292491,9.151808828,-0.376401703,24101.93135,1186.082995,9454.871857,8.65067603
abvc,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2b1c9fbcfafa70dcfa10247ad6ebe12858ca5878a4c90e32840a2080a507eb3d.png,https://abvcpharma.com/,B,Medium,B,Medium,B,Medium,220,212,205,637,11-06-2022,B,Medium,1173313,1.190950153,5.82852327,-0.752122504,22225.85013,724.4142524,8256.120986,5.88655528
acad,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2d87da57d47f7a5c0225c54f67d806d3a906cec1ea63d739dad084772cf5079c.png,https://acadia.com/,B,Medium,B,Medium,BB,Medium,230,230,305,765,16-04-2022,BB,Medium,1070494,0.139647728,22.24667947,-0.11793007,19739.93167,531.7151619,7276.807004,4.616166881
acac,Acri Capital Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,BB,Medium,200,205,300,705,10-06-2022,B,Medium,1914023,1.139486371,8.06518946,-0.186384889,10752.81918,1170.803751,6629.378413,7.877311742
accd,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,255,254,235,744,10-06-2022,B,Medium,1481646,0.678496581,25.41593816,0.212478813,10918.01916,830.1877024,9520.238276,6.74558129
acet,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,215,211,305,731,16-04-2022,B,Medium,1720580,0.329501171,28.5143587,-0.934434231,20616.61366,697.8146084,5191.48619,5.0068596
abcl,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,540,354,345,1239,10-06-2022,A,High,1703057,1.191682757,22.78443393,2.391295689,8312.120746,627.0935637,4171.124417,4.370603482
abcb,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,https://www.amerisbank.com/,B,Medium,BB,Medium,B,Medium,290,300,250,840,16-04-2022,BB,Medium,351569,1.064043718,29.29067159,-0.743925395,15389.47832,947.494118,7407.008828,6.871640069
acev,ACE Convergence Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,https://static.finnhub.io/logo/d86f14d77a3f95acbb00c602a4e2d735df7f2d3cfd22be9263a22876630ae65d.png,http://acev.io/home/,B,Medium,B,Medium,B,Medium,225,211,215,651,10-06-2022,B,Medium,1813658,1.437211575,20.33063016,1.78518135,19063.97302,1194.231748,7437.071068,8.205043198
achl,Achilles Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/6147e0afabb6d97c0483d7921c255166e49adccf043d5bf956068f9c4c546cae.png,https://www.achillestx.com/,B,Medium,B,Medium,B,Medium,230,288,285,803,10-06-2022,BB,Medium,1830749,0.938979139,6.525298732,0.056587712,19348.76853,666.2593405,4641.633548,4.704490885
achc,Acadia Healthcare Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/4b6b2e5a4cfce5b1377719219ab5a354a629c9b9fb43067b5993423152fef1fb.png,https://www.acadiahealthcare.com/,BB,Medium,B,Medium,B,Medium,330,231,220,781,16-04-2022,BB,Medium,1520697,0.324871654,10.88858167,0.092651928,17977.41121,1093.77639,8480.668062,7.915979196
aciw,ACI Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,https://www.aciworldwide.com/,A,High,BB,Medium,BB,Medium,500,327,300,1127,16-04-2022,BBB,High,935036,0.880620531,5.542692243,0.564390819,22346.93561,557.7143839,3312.696765,3.806743257
acls,Axcelis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/88b5f730-80df-11ea-94d0-00000000092a.png,https://www.axcelis.com/,A,High,BB,Medium,B,Medium,515,306,260,1081,16-04-2022,BBB,High,1113232,0.403204262,18.67707207,2.095581653,11959.90859,766.6667994,7348.823561,5.885011608
aciu,AC Immune SA,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f93a1c3e-80db-11ea-a2b4-00000000092a.png,https://www.acimmune.com/,B,Medium,B,Medium,BB,Medium,250,296,305,851,16-04-2022,BB,Medium,1651625,1.020406317,20.46354279,1.731132715,17352.27158,810.2720468,4840.134156,5.52204264
achv,Achieve Life Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/bf32de26-80e0-11ea-962e-00000000092a.png,http://achievelifesciences.com/,B,Medium,B,Medium,BB,Medium,215,222,305,742,10-06-2022,B,Medium,949858,0.778828129,25.4148227,2.961491226,7726.016267,842.6179952,4583.693554,5.624244924
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/bd3e9ce4b1a48aa839d6a0ff155fc165309d14773a651b8fb39fe880212870b2.png,https://www.acmrcsh.com/,BBB,High,B,Medium,BB,Medium,410,232,325,967,10-06-2022,BBB,High,1680062,0.309082512,13.79316388,-0.531284026,11296.5755,671.9564955,3683.932191,4.497127117
acor,Acorda Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/8d3dceec-80df-11ea-98bc-00000000092a.png,http://www.acorda.com/,B,Medium,BB,Medium,BB,Medium,230,307,310,847,16-04-2022,BB,Medium,1008848,0.538389669,15.01024128,-0.904755098,18303.82799,1109.713108,8163.933673,7.925710168
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/fa34ff3a5a42ae240b90281cb94d9f9dc73fe2b24a600c551b6d7f0e200dd0e8.png,https://www.acnb.com/,B,Medium,B,Medium,B,Medium,220,219,215,654,16-04-2022,B,Medium,715579,0.894757896,7.732217095,1.322073307,6884.166313,518.9731619,8846.25712,4.911682023
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/a0e2bf10-80d2-11ea-bde8-00000000092a.png,https://www.aclaristx.com/,B,Medium,B,Medium,B,Medium,230,207,220,657,16-04-2022,B,Medium,1557746,0.225706996,8.442907929,-0.643764098,5484.704174,1113.811642,3136.120378,6.728183995
